"filename", "language", "Properties", "Markdown", "Python", "Java", "Scala", "Go", "XML", "Log", "C++", "HTML", "C#", "JSON", "comment", "blank", "total"
"c:\Users\where\Documents\github\code\algorithm\segmentTree\setmentTreeImpl2.py", "Python", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 68
"c:\Users\where\Documents\github\code\algorithm\sortedContainers\sortedContainer.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\where\Documents\github\code\algorithm\stack\stack.md", "Markdown", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 28
"c:\Users\where\Documents\github\code\algorithm\string\subString.py", "Python", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 19
"c:\Users\where\Documents\github\code\algorithm\stringm\st.py", "Python", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\where\Documents\github\code\algorithm\swapAndPermutation\adjacentSwap.md", "Markdown", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\where\Documents\github\code\algorithm\swapAndPermutation\nextPermutation.md", "Markdown", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\Users\where\Documents\github\code\algorithm\tree\dfs.md", "Markdown", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"c:\Users\where\Documents\github\code\algorithm\tree\dfsForSum.py", "Python", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12
"c:\Users\where\Documents\github\code\algorithm\trieTree\trie.md", "Markdown", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 66
"c:\Users\where\Documents\github\code\algorithm\trieTree\trie2.py", "Python", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 44
"c:\Users\where\Documents\github\code\code.iml", "XML", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\where\Documents\github\code\collections.md", "Markdown", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 110
"c:\Users\where\Documents\github\code\contest\c255\q1\t1.py", "Python", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\where\Documents\github\code\contest\c255\q2\t2.py", "Python", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 25
"c:\Users\where\Documents\github\code\contest\c255\q3\q31.py", "Python", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 46
"c:\Users\where\Documents\github\code\contest\c255\q3\t3.py", "Python", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"c:\Users\where\Documents\github\code\contest\c255\q4\q41.py", "Python", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 39
"c:\Users\where\Documents\github\code\contest\c255\q4\t4.py", "Python", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 41
"c:\Users\where\Documents\github\code\contest\c256\q1\t1.py", "Python", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 15
"c:\Users\where\Documents\github\code\contest\c256\q2\t2.py", "Python", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 25
"c:\Users\where\Documents\github\code\contest\c256\q3\p33.py", "Python", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 4, 40
"c:\Users\where\Documents\github\code\contest\c256\q3\q31.py", "Python", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 25
"c:\Users\where\Documents\github\code\contest\c256\q3\q32.py", "Python", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 24
"c:\Users\where\Documents\github\code\contest\c256\q3\t3.py", "Python", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 45
"c:\Users\where\Documents\github\code\contest\c256\q4\t4.py", "Python", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\where\Documents\github\code\contest\c257\q1\t1.py", "Python", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\where\Documents\github\code\contest\c257\q2\q21.py", "Python", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\where\Documents\github\code\contest\c257\q2\t2.py", "Python", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 31
"c:\Users\where\Documents\github\code\contest\c257\q3\p31.py", "Python", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 18
"c:\Users\where\Documents\github\code\contest\c257\q3\t3.py", "Python", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\where\Documents\github\code\contest\c257\q4\t4.py", "Python", 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 125
"c:\Users\where\Documents\github\code\contest\c257\q4\t41.py", "Python", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 56
"c:\Users\where\Documents\github\code\contest\c258\q1\t1.py", "Python", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\where\Documents\github\code\contest\c258\q2\t2.py", "Python", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\where\Documents\github\code\contest\c258\q3\t3.py", "Python", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 32
"c:\Users\where\Documents\github\code\contest\c258\q4\t4.py", "Python", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 59
"c:\Users\where\Documents\github\code\contest\c258\q4\t42.py", "Python", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 59
"c:\Users\where\Documents\github\code\contest\c258\q4\t43.py", "Python", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 53
"c:\Users\where\Documents\github\code\contest\c258\q4\t44.py", "Python", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\where\Documents\github\code\contest\c259\q1\t1.py", "Python", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
